축제명,개최기간,개최지역,설명
부산국제매직페스티벌,3.23.~12.15.|행사및프로그램별상이,부산시 해운대구,"부산 국제매직페스티벌은 2006년부터 시작되어 문화콘텐츠 산업의 떠오르는 블루오션인 ‘매직’을 테마로 한 국내 100만 매직 마니아의 꿈의 축제인 국내 유일 세계 최대 규모의 마술 페스티벌이다. 올해 12월까지 진행되는 제19회 부산 국제매직페스티벌에는 매직 판타지아 시즌 2, 매직서커스[봄], 매직 컨벤션, 제6회 버스킹 챔피언십, 매직서커스[가을], 크리스마스 특집 매직 갈라쇼 등 다양한 행사들이 준비되어 있다."
양화진 근대사 뱃길탐방,2.17.~12.4.|13:30~16:00,서울시 마포구,"양화진 근대사 뱃길 탐방은 서울 양화나루와 잠두봉 유적 일대를 중심으로 마포, 한강 일대의 문화유산을 뱃길에서 향유하는 프로그램으로, 문화재청의 문화 프로그램인 생생 문화유산 사업에 등록되어 있다. 서울특별시 마포구에서 주최하고 ㈜컬처앤 로드 문화유산 활용 연구소에서 주관한다.

주요 프로그램으로는 양화진 근대사 뱃길 탐방 근대의 물결을 타다, 양화나루에서 즐기는 양화진 나루 잇기, 문화유산 활동가를 양성하는 양화진 이야기꾼 양성과정, 온라인 키트 체험 당인리 밤마실이 있다. 그중에서 대표 프로그램인 양화진 뱃길 탐방을 소개하고자 하며, 보다 자세한 사항은 컬처 앤 로드 블로그 혹은 양화나루와 잠두봉 유적 네이버 카페에서 확인할 수 있다."
문화가 있는 날 청춘마이크 충청권,05.29~2024.12.01,대전시 서구,"문화가 있는 날 청춘마이크 충청권 청춘개화, 모두 다 꽃이야는 문화체육관광부가 주최하고 지역문화진흥원이 주관하는 지역과 일상에서 누리는 수준 높은 청년예술가 거리공연이다.

국민 문화 향유 기회를 확대하고, 열정과 재능이 있는 청년 예술가들에게 공연 기회 마련 및 홍보 지원, 청년 세대 간의 교류·협력의 경험을 통해 청년예술가로 성장 할 수 있도록 돕고 있다. 

올해 청춘 마이크 충청권 공연은 충청도의 높은 자살률이라는 어두운 사회적 이슈를 모티브로 청춘개화, 모두 다 꽃이야라는 주제로 문화예술이 주는 치유의 역할을 통해 주민들을 위로하고 응원하는 메시지를 담아 정서적 돌봄과 즐거움이 넘치는 축제 현장이다."
문화가 있는 날 실버마이크 <전라·제주 권역>,6.26.~12.1.,광주시 광산구,"올해 실버마이크 전라/제주권역은 전 세대에게 삶의 메시지를 제공하고, 모두가 어울릴 수 있는 교류의 장을 만들기 위한 콘셉트로 운영된다. 이른이라는 주제는 단순히 공연 실력을 뽐내는 자리가 아니라, 그들의 이야기와 열정을 담아 인생에서 가장 빛나는 순간을 지역민과 공유하기 위해 기획된 공연이다.


삶의 많은 부분에 이르렀지만, 그럼에도 멈추기엔 아직 이른 실버예술가의 무대는 그들의 다음 여정을 담고 있는 곳이다. 누구나 겪었을, 누구나 겪게 될 각자의 이야기와 지역의 정서가 버무려진 실버마이크를 통해 전라/제주권역 직주근접지역 곳곳에서 다채로운 음악과 퍼포먼스를 선뵈는 실버예술가를 만나 볼 수 있다."
한강역사탐방,4.15.~11.30.,서울시 영등포구,"한강 역사탐방 프로그램은 한강 경관 및 역사·문화자원을 감상·공유하는 매력적인 관광해설과 교육을 제공하여 시민 및 관광객에게 한강변을 체험·감상한다. 또한 체험활동 등 시민들이 능동적으로 참여하고 직접 경험할 수 있는 다양한 콘텐츠를 개발하여 일상 속에서 즐기는 한강 역사 문화를 활성화하고자 한다. 
탐방객은 정해진 코스를 따라 한강 유역 및 인근 문화유산을 거닐며 한강 해설사의 해설을 듣는다. 한강 역사탐방은 주간 16개 코스, 야간 2개 코스, 총 18개 코스로 운영되며, 탐방객은 해당 코스를 거닐며 해당 코스와 관련된 한강의 역사를 탐방할 수 있다."
K-푸드 페스티벌 넉넉,5.29.~2025.5.31.|매주수~일16:00~21:00,서울시 종로구,"[K-푸드 페스티벌 넉넉]은 한식의 다채로움과 이색적인 맛을 경험하며, 즐거운 시간을 보낼 수 있는 한식특화 음식 축제이다.

15대의 푸드트럭이 김치베이컨치즈전, 호두크림치즈 곶감말이, 김치·쌈장닭꼬치, 누룽지닭강정, 단호박식혜 등의 이색 한식을 선보이며, 주요 연휴 시즌에는 수공예품 팝업스토어, 시민참여 이벤트, 무대 공연도 진행(운영)될 예정이다.

서울 광화문역, 경복궁역과 가까운 곳에 있으니, 도심에서 서울의 맛과 멋을 즐길 수 있다. 

* 축제 관련 공지사항 및 세부정보는 공식 홈페이지에서 확인 가능합니다.
* 우천 등 기상상황에 따라 휴장될 수 있으므로 방문 전 누리집 또는 인스타그램을 참고해 주세요."
낭만등불축제,5.1.~4.30.|09:30~20:00,경기도 남양주시,"서울 근교의 아름다운 수목원에서 열리는 낭만 등불축제는 등불을 무료로 대여하여 방문객들에게 불빛축제를 즐길 수 있는 기회를 제공한다. 낮에는 족욕체험과 맨발체험, 제빵소와 카페가 마련된 수목원에서 특별한 경험을 제공하며, 저녁에는 불빛축제가 펼쳐진 아름다운 정원을 환상적으로 물들인다. 낭만적이고 힐링 가득한 산들소리에서 등불과 함께 불빛축제를 즐길 수 있다."
제주민속촌 민속체험축제,5.1.~12.31.|매일08:30~19:00(매표마감18:00),제주도 서귀포시,"제주민속촌은 옛 제주의 모습을 간직한 제주에서 가장 제주다운 곳으로 19세기를 기준 연대로 산촌, 중산간촌, 어촌, 토속신앙을 비롯, 제주 영문과 유배 소등을 전문가의 고증을 통해 구성한 박물관이다. 100여 채에 달하는 전통가옥은 옛 제주 사람들이 실제 거주하였던 가옥을 전시, 가옥 곳곳에는 민속공예 장인들이 실제 입주, 작품 관람 및 체험의 기회를 제공한다.
초대형 장기, 윷놀이, 굴렁쇠 돌리기, 투호놀이, 제기차기 등 민속촌 곳곳에 다양한 민속체험 놀이가 준비되어 있다. 계절에 따라 피는 꽃(유채꽃, 벚꽃, 메밀꽃, 수국, 동백꽃 등)과 전통 가옥, 그 속에서 즐기는 다양한 민속놀이 체험을 즐겨 볼 수 있다."
태안 빛축제,기간:2023.1.1.~2024.12.31.,충청남도 태안군,"농사꾼들의 투박한 아이디어와 소박한 솜씨로 시작한 태안 빛 축제가 지금은 연중무휴로 365일 내내 열리고 있다. 충남지역 최초의 화려한 조명, 바다 내음 한 아름 빛으로 피어나는 추억이란 주제로 바다와 꽃으로 각인된 태안의 정적인 이미지를 개선하고자 LED 불빛을 이용한 동적인 모습과 야간 볼거리를 제공한다."
만수천 빛의거리,2.1.~12.31.,인천시 남동구,만수천 빛의 거리는 인천광역시 남동구 만수복개천 공영주차장 양옆 일방통행 전 구간(만수동 1003)에 걸쳐 2023년 12월에 조성되었다. 1공영주차장과 2공영주차장 사이에 12m의 대형 크리스마스트리가 설치되고 2가지의 서로 다른 빛의 터널이 방문객들을 맞는다. 2공영주차장과 3공영주차장 사이에는 민들레 꽃밭과 보름달을 형상화한 포토존이 놓이고 3공영주차장과 4공영주차장 사이에는 LED 놀이터 포토존도 선보인다. 더불어 전 구간에 걸쳐 아름다운 오로라 라이트와 전구 조명이 밤을 밝게 밝힌다.
서창별빛거리,2.1.~12.31.,인천시 남동구,서창 별빛 거리는 2019년부터 시작하여 2023년 5회째를 맞는 지역 특화 관광축제이다. 서창 2지구 회전교차로 일원에 겨울과 크리스마스에 어울리는 별빛 거리를 조성하여 지역주민과 관광객들에게 볼거리를 선사하고 연말연시에 따뜻한 위로와 희망을 전하고 있다.
한국의집 고호재,1.1.~12.31.11:00~18:30,서울시 중구,"고호재는 한국의집에서 선보이는 프리미엄 궁중 다과 브랜드로 옛 것을 좋아하는 이들의 집이라는 뜻을 담고 있다. 사계절의 맛과 색을 다과상에 올려내는 고호재는 봄, 여름, 가을, 겨울의 계절별 제철 재료로 만들어낸 정성스러운 다과를 맛볼 수 있는 고품격 체험 프로그램이다. 체험객은 전통 한옥인 한국의집에서 고즈넉한 분위기를 즐기며 1인 다과상과 계절별로 제공되는 단품 메뉴(여름의 빙수, 겨울의 죽 등)를 맛볼 수 있다. 푸르른 녹음이 짙은 한국의집에서의 다과 체험은 전통의 멋과 맛을 즐기는 체험객들에게 색다른 즐거움을 제공한다."
안산별빛마을 애니멀 & 하트빌리지 빛축제,1.1.~12.31.|15:00~23:00(입장마감22:10),경기도 안산시,"빛과 자연, 그리고 그 속에서 무르익는 추억과 사랑을 선사하는 안산 별빛마을에서 <2024 안산 별빛마을 애니멀 & 하트 빌리지 빛 축제>를 개최한다. 도심 속 아름다운 빛의 숲에서 열리는 빛의 축제는 별빛이 내린 사계절 빛의 정원과 200여 마리의 실 사이즈 동물 조형물들, 그리고 SNS에서 핫한 인생 샷과 추억을 남길 수 있는 포토존들로 가득하다."
별빛이 흐르는 정원,1.1.~12.31.,경기도 파주시,"퍼스트 가든은 아름다운 조명으로 정원을 장식한 별빛축제를 365일 연중무휴 운영한다. 일몰과 함께 정원 전체에 조명이 켜지면 낮에는 볼 수 없던 색다른 모습의 정원을 관람할 수 있다. 자수화단의 환상적인 별빛, 토스카나 광장의 이국적인 별빛, 로즈가든의 정열적인 별빛은 추위로 얼어붙은 겨울밤을 녹이고 로맨틱한 겨울밤 분위기를 자아낸다.

별빛이 흐르는 정원을 슬로건으로 은하수를 담은 별자리 여행처럼 더 화려하고 볼거리가 많은 정원이 관광객을 맞이하며, 약 2만 평 규모의 부지에 정원마다 다른 주제로 사계절의 대표 별자리를 비롯한 다양한 별자리가 지상에 내려앉은 모습을 볼 수 있다. 퍼스트 가든 별빛축제는 사계절을 담아낸 다양한 별자리 정원뿐 아니라 생명과 희망을 담은 바오밥나무 별빛, 나비정원 별빛 등 각 정원마다 스토리를 담아낸 별빛테마정원과 곳곳마다 별빛 황금마차, 별빛 아이 캐릭터 등 볼거리와 포토존으로 구성하여 연인과 가족들의 눈을 즐겁게 해줄 예정이다.

2023-2024 퍼스트 가든 빛 축제는 작년에 비해 조명이 더 추가되어 더욱 화려한 정원을 뽐내고 있다. 그 외에 퍼스트 가든은 레스토랑, 웨딩홀, 놀이시설, 체험학습, 기프트숍, 썰매장, 챌린지 코스 등 다양한 편의, 놀이시설을 갖추고 있어 단순한 정원 관람뿐 아니라 종합테마파크로서의 모습을 갖추고 있다."
허브아일랜드 불빛동화축제,1.1.~12.31.,경기도 포천시,"잃어버린 동심을 만들 수 있는 시간! 매일 밤, 작은 불빛들이 만들어내는 동화 같은 세상은 누구에게나 잊지 못할 추억을 선사하며, 누구나 불빛세상의 주인공으로 만들어줄 아름다운 불빛 야경이 준비되어 있다. 허브아일랜드 불빛동화축제는 우리를 동화 속 세상으로 초대한다. 결코 꺼지지 않는 불빛들의 네버엔딩스토리를 만나보자! 1~3월까지는 핑크, 빛으로 말하다 테마를 가지고 핑크빛의 사랑 메시지를 더한다."
아시테지 국제여름축제,7.18.~7.28.,서울시 종로구,"아시테지 국제여름축제는 국내·외 우수 아동청소년연극을 한자리에서 만나볼 수 있는 한국 최대 규모의 아동청소년을 위한 공연예술축제다. 1993년 ‘서울어린이연극제’로 시작된 아시테지 국제여름축제는 1995년부터 해외 우수아동극을 초청하여 국제공연예술제로 면모를 갖추었으며 1997년 ‘서울국제어린이공연예술제’, 2001년 ‘서울아동청소년공연예술축제’로 발전하였다. 

2009년 제17회 ‘아시테지 여름축제’에 이어 2013년 제21회부터 ‘아시테지 국제여름축제’로 행사명을 바꾸고 해외 참가의 비중을 확대해 국제적인 아동청소년 축제로서의 위치를 공고히 하고 있다. 지난 25년간 아동청소년을 위한 연극뿐 아니라 무용극, 음악극, 오브제극 등 다양한 장르의 공연과 워크숍, 전시 등으로 구성된 축제에 총 30만 명의 관객이 함께하였다. 

2014년부터 2017년까지 4년 연속 한국문화예술위원회 공연예술행사지원사업 평가 A등급 선정 및 2018년 지역대표공연예술제 평가 S등급 선정으로 명실상부한 한국 대표 공연예술축제로 평가받고 있다."
홍천찰옥수수축제,7.19.~7.21.|09:00~18:00,강원도 홍천군,"홍천군은 전국 유일의 옥수수 연구소가 자리잡은 모든 찰옥수수 종자의 발원지로, 미백 1호, 미백 2호, 미흑찰, 흑점찰 등 매년 다양한 종자 개량을 통해 우수한 찰옥수수를 개발하고 있다. 또한 낮과 밤의 일교차가 상당한 홍천군의 특징은 찰옥수수 재배에 최적화된 지역으로, 다른 고장과 차별화된 찰지고 쫄깃한 맛을 가지고 있다."
휴애리 여름 수국축제,6.5.~7.21.|09:00~19:00(입장마감17:30),제주도 서귀포시,"휴애리 여름 수국축제는 정성스럽게 키운 다양한 수국을 온실, 수국 정원, 수국 오름 등 공원 곳곳에서 감상할 수 있다. 특별히 온실에서 다양한 수국을 만나 볼 수 있으며 공원 첫 입구부터 나오는 출구까지 전체가 수국으로 덮여 있다."
율봄식물원 토마토 시즌,6.1.~7.21.|10:00~17:00,경기도 광주시,"싱싱한 토마토의 계절, 율봄식물원에서 토마토를 활용한 체험과 아이들을 위한 즐길거리를 만날 수 있다. 농촌테마식물원인 율봄식물원은 2만 여평에 실외 공간에 조성된 야외 식물원으로 식물원과 어우러지는 농촌경관의 모습, 그 안에서 진행되는 계절별 농촌체험, 아름답게 가꿔진 청정 자연 속에서의 편안한 휴식과 함께 정직하게 재배된 신선한 농산물을 이용한 계절별 체험이 가능한 청정 자연 체험 학습 공간이다."
K-푸드페스타 in 서울,7.19.~7.21.|10:00~18:00,서울시 서초구,"세상 모든 음식을 한 곳에서 만나볼 수 있는 K-푸드페스타 in 서울 2024이 7월 aT센터에서 개최된다. 손맛 가득 핸드메이드 음식부터 각종 소스와 분식, 디저트, 건강음식 등 다채로운 음식의 향연이 펼쳐질 예정이다."
화순 명품 복숭아 문화 축제,7.27.~7.28.|11:00~21:00,전라남도 화순군,"화순 명품 복숭아 축제는 아따 먹어봐야 알제 슬로건을 가지고 다양한 볼거리, 놀 거리, 체험거리를 준비하여 7월 28일부터 29일까지 1박 2일 동안 운영한다. 화순군의 대표 농특산물과 문화축제를 아우르는 축제로 화순 명품 복숭아의 위상을 드높이는 농가의 소득창출 및 지역 경제 활성화 기여한다."
세종 조치원 복숭아 축제,7.26.~7.28.|10:00~22:00,세종시 세종특별자치시,"세종시 특산물인 조치원복숭아를 홍보하고 판매하며 시민 참여 프로그램 운영, 축하공연 등의 축제가 7월 26일부터 7월 28일까지 진행한다. 세종시민운동장, 도도리파크, 조치원 중심가에서 116년 전통의 조치원 복숭아를 만날 수 있다."
부산바다축제,7.26.~7.28.|13:00~22:00,부산시 수영구,"*하기 행사 내용은 전년도(2023년) 행사 내용으로, 2024년도 행사 내용은 업데이트 중에 있습니다.*

제27회 부산바다축제는 부산 여름 대표 축제로 2023년 8월 1일부터 6일까지 총 6일간 개최되며, 해운대·다대포 해수욕장 일원에서 진행된다.
본 축제는 전국 최대 규모 힙합 풀파티인 Night Pool Party와 눈부신 노을 아래 펼쳐지는 원더풀 컬러풀을 중심으로 여러 연계행사들이 구성될 예정이다. 이 외에도 바다에서 즐길 수 있는 다채로운 프로그램들을 만나볼 수 있으며, 누구나 자유롭게 관람 및 참여 가능하다."
무안 연꽃축제,7.25.~7.28.|10:00~21:30,전라남도 무안군,"무안연꽃축제는 전라남도의 대표적인 여름축제로서, 단일 연꽃축제로는 전국 최대이다. 1997년 시작되었고, 매년 여름 일로읍 복용리 회산 백련지 일원에서 개최된다. 동양 최대 10만 평을 가득 채운 초록빛 연잎 사이로 고결함을 드러내듯 올곧이 하얀 꽃망울을 틔우는 백련을 볼 수 있으며 자연의 한가운데서 다채로운 행사를 진행한다."
금산 삼계탕축제,7.24.~7.28.|18:00~22:00,충청남도 금산군,여름철 보양대표음식으로 손꼽히는 삼계탕에 여름 ‘물’체험과 건강 ‘약초’체험이 어우러진 전국 최초의 삼계탕 축제로서 금산에서만 맛볼 수 있는 인삼·약초 삼계탕 한 그릇과 다채로운 여름 건강문화체험으로 가족의 건강도 챙기면서 색다른 즐거움을 만끽할 수 있는 금산 여름 대표 축제이다.
안동 수페스타,7.27.~8.4.,경상북도 안동시,"한 여름 더위를 날리는 시원한 여름 축제이다. 안동문화예술인들의 신나고 감성적인 공연, 인디언 텐트와 해먹&파라솔이 펼쳐진 캠크닉, 시원하게 더위를 날려줄 물놀이와 물총 싸움, 불꽃놀이와 함께하는 EDM 파티, 플리마켓과 푸드트럭&수제 맥주까지 낙동강변에서 즐길 수 있다."
"안동 문화유산 야행 ""월영야행""",7.26.~8.4.|18:00~22:00,경상북도 안동시,"안동의 대표적인 여름밤 문화행사로 매년 7월~8월 월영교 일원에서 진행된다. 월영교 다리에 설치되는 전통등간의 대표적인 프로그램을 비롯한 안동의 유무형 문화유산을 활용한 공연, 전시, 체험프로그램이 운영된다. 
월영교 일원에는 임청각, 법흥사지칠증전탑, 안동석빙고 등 문화유산들이 산재하고 있으며, 축제장에서는 하회별신굿놀이, 안동놋다리밟기, 문화예술 공연이 진행되어 안동 문화유산의 정수를 맛볼 수 있다."
보령머드축제,7.19.~8.4.|10:00~18:00(수요일휴무),충청남도 보령시,"체험형 여름축제이다. 바다를 바라보며 머드를 온몸으로 느끼는 일반존과 가족이 함께 하는 패밀리존으로 구성되어 있다. 낮에는 머드를 적시며 보낼 수 있고, 밤에는 다양한 공연, 불꽃쇼 등을 볼 수 있다."
위클리 클래식 페스티벌,3.1.~7.31.,서울시 종로구,"우리동네 소극장에서 즐기는 클래식 음악회라는 슬로건으로 2022년 경기도 오산에서 시작하여 관객들로부터 호평을 받고 있는 위클리 클래식 페스티벌이 2024년 전국 8개 공연장에서 3월부터 7월까지 개최된다. 

공모를 통해 선정된 68팀 총 210명의 연주자들이 서울, 경기, 청주, 대구, 제주에서 92회의 공연을 진행할 예정이다. 정통 클래식을 기반으로 재즈, 국악, 뉴에이지, 남미 음악에 이르기까지 클래식 악기로 보여줄 수 있는 다양한 장르도 선보일 예정이다. 

참여하는 공연장은 경복궁 클래식(서울 종로), 갤러리 오누이(서울 동작), 마이스터클랑(경기 광명), MEG아트홀(경기 오산), AG아트홀(충북 청주), 프란츠홀(대구 남구), 오디토리움(제주 애월), 끌로드아트홀(제주 서귀포)이며 공연장별 객석은 최소 30석에서 최대 100석 이다.

연주자의 호흡까지 느낄 수 있을 정도로 무대와 객석이 가까운 거리, 모든 공연에 있는 연주자의 해설로 관객과 연주자 사이의 장벽이 자연스럽게 무너지는 놀라운 경험을 하게 될 것이다. 이 축제를 통하여 클래식 음악이 주는 감동과 희열, 특별한 에너지를 경험하며 예술적 영향력을 펼치기를 기대해 본다. 
예매는 클래식 공연 예매 사이트인 파인스테이지(www.finestage.co.kr)에서 가능하다."
계양아라온워터축제,7.26.~7.28.|11:00~18:00(휴게시간:13:00~14:00),인천시 계양구,"올해도 어김없이 찾아오는 한여름 무더위, 계양 아라온 수변에서 제2회 계양 아라온 워터 축제가 펼쳐진다. 행사기간은 7.26.(금) ~ 7. 28.(일) 3일간이며 물놀이, 워터슬라이드, 카약, 수상자전거, 어린이 체험 등 다채로운 행사가 열릴 예정이다. 물놀이와 카약 체험은 사전과 현장접수로 나누어 진행하는데 사전 접수(7.10(수)~7.17(수))를 신청하면 더욱 편하게 축제를 즐길 수 있다."
강릉국제청소년예술축전,7.30.~8.11.|10:00~21:00,강원도 강릉시,"2002년부터 시작된 강릉국제청소년예술축전은 ‘문화의 세기 · 젊음의 교류 · 영원한 우정’의 방향으로세계 청소년들이 함께 어우러지는 예술축제이며, 매년 10개국 500여 명의 세계 청소년들이 참여하고 있다.
세계 각국의 청소년들을 위한 공연과 전시, 체험과 문화를 나누는 교류의 장을 만들어 가는데 그 의미가 남다르다.
특히 공연예술을 비롯하여 작품 전시, 지역 명소 탐방, 해변 여름 해변 물놀이, 교류 파티 등도 함께 진행하면서,세계 각국의 청소년들이 한국의 문화예술을 통해 영감과 예술혼을 고양하는데 크게 기여하고 있다."
평창더위사냥축제,7.26.~8.4.|10:00~17:00,강원도 평창군,"평창더위사냥축제는 대한민국 대표 여름맞이 축제이다. 
연중 10℃의 시원한 냉천수가 흐르는 땀띠공원에서 다양한 체험프로그램과 공연으로 더위에 지친 몸과 마음을 쉬어갈 수 있다."
봉화은어축제,7.27.~8.4.,경상북도 봉화군,"조선시대 임금님 수라상에 오를 만큼 귀하고 영양가가 풍부한 은어! 은어와 사람, 자연이 함께 어우러지는 자연 생태축제! 청정 봉화의 맑고 깨끗한 내성천에서 벌어지는 은빛 은어의 향연! 자연과 어우러진 다양한 공연! 재미와 건강, 휴식이 있는 오감만족 축제!"
